設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
ファミリーマート大村岩松町店,長崎県大村市岩松町９４１－３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート大村小路口町店,長崎県大村市小路口町２４４－５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
長崎日産大村営業所,長崎県大村市松並２丁目１２２５,0957-52-4135,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス長崎空港南口店,長崎県大村市杭出津１丁目７４５－１１,0957-54-1132,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
株式会社　異人堂　大村店,長崎県大村市桜馬場１－３７７,0957-52-3001,24時間営業,1,0,加盟,小売店舗,日本ユニシス,,,
トヨタカローラ長崎　大村店,長崎県大村市杭出津２丁目７２１－１,0957-53-1178,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
長崎トヨペット　大村店,長崎県大村市松並１丁目９３９,0957-53-1000,10:00 ～ 18:15,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,
ネッツトヨタ長崎　プライムスクエア大村,長崎県大村市富の原１－１５５３－１,0957-53-6138,10:00 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
長崎トヨタ　大村店,長崎県大村市杭出津１丁目５０１番,0957-52-3157,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
道の駅　生月大橋,長崎県平戸市生月町南免４３７５－１,,24時間営業,1,0,提携,道の駅,日本ユニシス,,,
長崎トヨペット　平戸口店,長崎県平戸市田平町小手田免９９０－２３,0950-57-1600,10:00 ～ 18:15,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,
道の駅松浦海のふるさと館,長崎県松浦市志佐町庄野免２２６番地３０,0956-72-2278,24時間営業,1,0,提携,道の駅,エネゲート,,,重塩害地用キュービクル設置のため、扉の開閉は使用者が行ってください。
道の駅　鷹ら島,長崎県松浦市鷹島町神崎免１６３６,,24時間営業,1,0,提携,道の駅,日本ユニシス,,,
味処ひとつばたご　第２駐車場,長崎県対馬市上対馬町比田勝３番地,,24時間営業,0,1,加盟,飲食店,日本ユニシス,,,
ショッピングセンターピア２１,長崎県壱岐市芦辺町箱崎中山触２６０４－２,0920-45-4000,08:00 ～ 21:30,1,0,加盟,大規模小売店舗,日本ユニシス,,,　
エレナＦＣ壱岐郷ノ浦店,長崎県壱岐市郷ノ浦町東触７５８－１,,24時間営業,1,0,提携,小売店舗,日本ユニシス,,,
トヨタカローラ長崎　五島店,長崎県五島市吉久木町６９６番地,0959-72-6201,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
ファミリーマート朝長小迎店,長崎県西海市西彼町小迎郷２８１９－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
スーパーウエスト　駐車場,長崎県西海市西彼町平山郷２３２５－３,0959-28-0881,08:00 ～ 21:00,0,1,加盟,小売店舗,日本ユニシス,,,
道の駅みずなし本陣ふかえ第一駐車場,長崎県南島原市深江町丁６０７７番地,,24時間営業,1,0,提携,道の駅,エネゲート,,,
ファミリーマート南島原口之津店,長崎県南島原市口之津町丁５７９９,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
長崎トヨペット　レクサス長崎,長崎県西彼杵郡時津町浦郷５４８－１,095-882-7555,10:00 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週月曜。GW、年末年始、夏季休暇期間など不定期に停止することがあります。充電時間１回３０分迄。詳細は店舗へお問合せください。
長崎日産長崎店時津営業所,長崎県西彼杵郡時津町左底郷１０１－２,095-882-0523,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス長崎Ｕカーズ時津店,長崎県西彼杵郡時津町日並郷３３６９－１,095-886-8623,10:00 ～ 19:00,1,0,提携,自動車ディーラー,JCN,,,【定休日等】毎週水曜／第１火曜／第２火曜，年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ミスターマックス時津店,長崎県西彼杵郡時津町左底郷１８３２－１,,09:00 ～ 23:00,2,0,提携,大規模小売店舗,e-Moblity Power,,,【定休日等】店舗の休業日に準ずる
メルセデス・ベンツ長崎,長崎県西彼杵郡時津町元村郷１０９８番地４,095-881-3661,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】月曜日定休日（月曜が祝祭日の場合は火曜日）、第二火曜日定休日および年末年始
トヨタカローラ長崎　時津店,長崎県西彼杵郡時津町日並郷３６０８,095-882-2887,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
ネッツトヨタ長崎　ネッツマリン時津,長崎県西彼杵郡時津町浦郷３０４－１,095-882-7700,10:00 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
長崎トヨタ　時津店,長崎県西彼杵郡時津町浜田郷字冬切１７６２番１０,0952-24-4173,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　長崎時津店,長崎県西彼杵郡時津町元村郷字堀田７５５－１,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
ドコモショップ時津店,長崎県西彼杵郡時津町野田郷２８－４,095-881-7771,10:00 ～ 19:00,0,1,加盟,小売店舗,日本ユニシス,,,
道の駅　彼杵の荘,長崎県東彼杵郡東彼杵町彼杵宿郷７４７－２,0957-49-3311,24時間営業,1,0,加盟,道の駅,JCN,,,【定休日等】充電器は年中無休。道の駅彼杵の荘は12/31～1/3まで休業。
長崎自動車道　大村湾ＰＡ上り,長崎県東彼杵郡東彼杵町,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
長崎自動車道　大村湾ＰＡ下り,長崎県東彼杵郡東彼杵町,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
お菓子の香梅白山本店,熊本県熊本市中央区白山１－６－３１,096-366-5151,24時間営業,1,0,加盟,飲食店,エネゲート,,,
ＡＮＡクラウンプラザＨ熊本ニュースカイ,熊本県熊本市中央区東阿弥陀寺町２番,096-354-2111,24時間営業,1,0,提携,宿泊施設,エネゲート,,,
レクサス熊本南,熊本県熊本市中央区世安町７番地,096-375-8855,10:00 ～ 18:30,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜、第1月曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
トヨタカローラ熊本　本店,熊本県熊本市中央区世安町１８３,096-362-2112,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ中九州ネッツスクエア南熊本店,熊本県熊本市中央区南熊本３丁目６－１,096-364-6111,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
熊本トヨペット　中央店,熊本県熊本市中央区大江４－３－６,096-372-3281,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
松屋別館,熊本県熊本市中央区水前寺公園５－５－１,096-381-1331,08:00 ～ 22:00,0,1,加盟,宿泊施設,日本ユニシス,,,
熊本三菱自動車販売（株）健軍店,熊本県熊本市東区沼山津２ー２－２,096-331-5500,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
ロータスマツオ,熊本県熊本市東区尾ノ上４丁目２０－３４,096-369-0114,08:30 ～ 19:00,1,0,提携,その他,エネゲート,,,【定休日等】水曜・祝日は定休日です
ファミリーマート熊本小峯４丁目店,熊本県熊本市東区小峯４－４－１０１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産プリンス熊本健軍支店,熊本県熊本市東区桜木１丁目２－２２,096-369-6411,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス熊本本社支店,熊本県熊本市東区西原１丁目２－１５,096-384-1123,24時間営業,2,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス熊本東バイパス支店,熊本県熊本市東区上南部２丁目１－１２５,096-380-3821,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
熊本日産自動車日赤通り支店,熊本県熊本市東区長嶺南４－５－１,096-340-1123,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ミスターマックス熊本インター店,熊本県熊本市東区石原１－１－１１１,,09:00 ～ 00:00,2,0,提携,大規模小売店舗,e-Moblity Power,,,【定休日等】店舗の休業日に準ずる
トヨタカローラ熊本　健軍店,熊本県熊本市東区健軍４丁目４－３,096-368-5131,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ熊本　東バイパス店,熊本県熊本市東区下南部３丁目１４－７８,096-380-5221,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ中九州　ネッツスクエア東店,熊本県熊本市東区西原３丁目１－１７,096-382-0222,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　健軍桜木店,熊本県熊本市東区桜木１丁目１９－２６,096-365-3151,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨペット　新外店,熊本県熊本市東区新外１－３－３７,096-369-3177,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
熊本トヨタ　東バイパス店,熊本県熊本市東区御領８丁目１１－１,096-380-5911,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
熊本トヨタ　健軍店,熊本県熊本市東区健軍２丁目８－２４,096-369-2614,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
熊本トヨタ　くまもと中央店,熊本県熊本市東区保田窪本町１０番５５号,096-386-5000,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】第一月曜日、毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　東バイパス店,熊本県熊本市東区新南部６丁目３－１２５,096-382-3611,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　熊本インター店,熊本県熊本市東区御領６－７－２０,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
熊本駅第３駐車場,熊本県熊本市西区春日８１８番１,,24時間営業,1,0,提携,その他,エネゲート,,,
熊本駅第２駐車場,熊本県熊本市西区春日３丁目,096-356-5015,24時間営業,1,0,提携,その他,エネゲート,,,
熊本日産熊本支店第２ショールーム,熊本県熊本市西区花園１ー６ー１３,096-354-0120,24時間営業,2,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】火曜定休、年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ネッツトヨタ熊本　田崎店,熊本県熊本市西区上代１丁目２－１,096-326-3600,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨタ　上熊本店,熊本県熊本市西区上熊本２丁目４－２２,096-352-6141,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ホテルルートイン　熊本駅前,熊本県熊本市西区春日１－１４－１９,,24時間営業,0,2,加盟,宿泊施設,日本ユニシス,,,【駐車料金等】駐車料金:500円/日
フードプラザにしだ城南店,熊本県熊本市南区城南町東阿高１８－１,0964-28-0001,24時間営業,1,0,提携,小売店舗,エネゲート,,,
ガレージＳＡＦＥ,熊本県熊本市南区八幡５丁目１４－９,096-320-5798,24時間営業,1,0,提携,その他,エネゲート,,,
熊本日産南支店,熊本県熊本市南区平田２丁目１８－２０,096-354-0120,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス熊本日吉支店,熊本県熊本市南区日吉１－１－１,096-355-0882,24時間営業,2,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
熊本三菱自動車販売（株）熊本本店,熊本県熊本市南区平田２ー１ー５７,096-354-2000,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,
メルセデス・ベンツ熊本南,熊本県熊本市南区十禅寺３－４－６８,096-355-4352,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】月曜日定休日（月曜が祝祭日の場合は火曜日）、第二火曜日定休日および年末年始
熊本日産浜線支店,熊本県熊本市南区田井島１丁目１０ー１,096-379-0223,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ビッグエムワン熊本富合店,熊本県熊本市南区富合町清藤３８９,050-3173-5349,10:30 ～ 19:30,0,2,提携,小売店舗,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
ネッツトヨタ中九州　ネッツスクエア本店,熊本県熊本市南区近見７丁目８番４１号,096-356-2211,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　浜線店,熊本県熊本市南区出仲間９丁目２－５０,096-378-4111,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
ネッツトヨタ熊本　川尻店,熊本県熊本市南区南高江６丁目４－１２,096-358-1200,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨペット　浜線店,熊本県熊本市南区出仲間８－９－１０,096-378-1332,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
熊本トヨペット　本店,熊本県熊本市南区十禅寺２丁目２番５号,096-353-5116,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
熊本トヨタ　本店,熊本県熊本市南区日吉２丁目１０－１,096-357-6160,09:00 ～ 17:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
城南カントリーゴルフクラブ,熊本県熊本市南区城南町藤山１６６０,0964-28-6511,07:00 ～ 18:00,0,2,加盟,ゴルフ場,日本ユニシス,,,【定休日等】毎週月曜日はセルフ営業。元旦
城南天然温泉旅館,熊本県熊本市南区城南町藤山１７１５,0964-28-8611,10:00 ～ 22:00,0,2,加盟,宿泊施設,日本ユニシス,,,
ニトリ　熊本近見店,熊本県熊本市南区近見７－８－５０,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
九州自動車道　北熊本ＳＡ上り,熊本県熊本市北区改寄町１１９９,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
九州自動車道　北熊本ＳＡ下り,熊本県熊本市北区改寄町１６５３,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
熊本日産北支店,熊本県熊本市北区下硯川町２１９６,096-354-0120,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス熊本北部支店,熊本県熊本市北区鶴羽田１丁目１１－２７,096-345-2332,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
熊本日産東バイパス支店,熊本県熊本市北区弓削４丁目１０番３０号,096-337-1133,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ファミリーマート熊本竜田口店,熊本県熊本市北区龍田陳内１－１－１,,24時間営業,2,0,提携,コンビニエンスストア,e-Moblity Power,,,【定休日等】年中無休
メルセデス・ベンツ熊本ＣＣセンター,熊本県熊本市北区大窪４－１－１,096-341-0011,10:00 ～ 17:00,1,0,提携,自動車ディーラー,日本ユニシス,NEW,2023年04月28日,【定休日等】定休日は、毎週月曜日（月曜日が祝祭日の場合は営業し、翌火曜日）、第二火曜日。年末年始など不定期に停止することがあります。
トヨタカローラ熊本　武蔵ケ丘店,熊本県熊本市北区楠６丁目６－５０,096-339-3333,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ熊本　清水店,熊本県熊本市北区山室５丁目１－１,096-344-3011,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　清水店,熊本県熊本市北区飛田４丁目９－１３３,096-344-1811,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第一月曜日休、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨペット　清水店,熊本県熊本市北区大窪２－１０－１５,096-359-6111,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
ニトリ　熊本北店,熊本県熊本市北区下硯川町２１０３,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
アステクス岡町,熊本県八代市岡町谷川一〇二八,0965-52-5715,24時間営業,1,0,提携,その他,エネゲート,,,
フードプラザにしだ高島店,熊本県八代市高島町４１２８－１,0965-34-1534,24時間営業,1,0,提携,小売店舗,エネゲート,,,
フードプラザにしだ海士江店,熊本県八代市海士江町２９１０,0965-33-0609,24時間営業,1,0,提携,小売店舗,エネゲート,,,
熊本日産八代インター支店,熊本県八代市上片町１６９５,096-354-0120,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス熊本八代支店,熊本県八代市平山新町２５１０－１,0965-32-5108,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
熊本日産八代支店,熊本県八代市旭中央通り１６－１１,0965-32-3181,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
熊本三菱自動車販売（株）八代店,熊本県八代市高下西町１７５０,0965-33-2131,24時間営業,1,0,提携,自動車ディーラー,エネゲート,NEW,2023年04月25日,
八代市役所,熊本県八代市松江城町１－２５,0965-33-5837,24時間営業,1,0,提携,自治体施設,日本ユニシス,,,
トヨタカローラ熊本　八代店,熊本県八代市旭中央通１１－２,0965-33-5155,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ中九州　ネッツスクエア八代店,熊本県八代市本野町１９２１－１,0965-35-4411,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　八代店,熊本県八代市長田町３２３１‐１,0965-33-3411,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨペット　八代店,熊本県八代市永碇町１１０３－２,0965-33-5221,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
熊本トヨタ　八代店,熊本県八代市旭中央通り１１－８,0965-33-5187,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　八代店,熊本県八代市海士江町２７０８－１,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
ホテルルートイン　八代,熊本県八代市本町１－１－５,,24時間営業,0,2,加盟,宿泊施設,日本ユニシス,,,
ニシムタ　人吉店,熊本県人吉市下林町佐ブ川３０－１,0966-22-0211,09:00 ～ 21:00,1,0,加盟,大規模小売店舗,エネゲート,,,
熊本三菱自動車販売（株）人吉店,熊本県人吉市中林町広鶴１８８８,0966-23-3115,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】店舗定休日
熊本日産人吉支店,熊本県人吉市上薩摩瀬町１４４４－３,096-354-0123,24時間営業,2,0,提携,自動車ディーラー,エネゲート,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ファミリーマート人吉インター店,熊本県人吉市鬼木町善生院６１１番１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ニシムタ　人吉店,熊本県人吉市下林町佐ブ川３０番１,0966-22-0211,09:00 ～ 23:00,0,1,提携,大規模小売店舗,トヨタコネクティッド,,,
トヨタカローラ熊本　人吉店,熊本県人吉市下林町１８４－１,0966-23-2351,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　人吉店,熊本県人吉市下林町２２３－３,0966-23-3021,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
熊本トヨペット　人吉店,熊本県人吉市下林町２９８－１,0966-23-2391,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】第一月曜日・毎週火曜日・祝日。ＧＷ、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問い合わせください。
熊本トヨタ　人吉店,熊本県人吉市下林町２０７－１,0966-23-3151,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
清流山水花　あゆの里,熊本県人吉市九日町３０,0966-22-2171,24時間営業,0,2,加盟,宿泊施設,トヨタコネクティッド,,,
ホテル華の荘,熊本県人吉市東間下町３３１６,0966-22-1126,24時間営業,0,2,提携,宿泊施設,日本ユニシス,NEW,2023年05月12日,
トヨタカローラ熊本　荒尾店,熊本県荒尾市荒尾２０２５－２,0968-62-6111,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ熊本　荒尾店,熊本県荒尾市増永１９０１－２,0968-63-2587,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】火曜日、第1月曜、他祝日。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
日産プリンス熊本水俣支店,熊本県水俣市百間町１丁目５－２３,0966-63-5354,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
道の駅みなまた,熊本県水俣市月浦５４－１６２,0966-62-2003,24時間営業,1,0,提携,道の駅,日本ユニシス,,,
